id_cliente,nombre,apellido,edad,ciudad,segmento,email
CLI-000001,Diego,Montenegro,25,Cusco,Regular,cliente1@retail.pe
CLI-000002,Ani,Vigil,50,Chiclayo,Nuevo,cliente2@retail.pe
CLI-000003,Flor,Calderon,24,Arequipa,Nuevo,cliente3@retail.pe
CLI-000004,Soledad,Godoy,57,Piura,Regular,cliente4@retail.pe
CLI-000005,Teresa,Rivero,54,Piura,Nuevo,cliente5@retail.pe
CLI-000006,Miguela,Tudela,67,Trujillo,Regular,cliente6@retail.pe
CLI-000007,Maricruz,Sainz,55,Trujillo,Regular,cliente7@retail.pe
CLI-000008,Jose,Acedo,57,Lima,Premium,cliente8@retail.pe
CLI-000009,Encarna,Berrocal,70,Lima,Regular,cliente9@retail.pe
CLI-000010,Dan,Madrigal,70,Chiclayo,Regular,cliente10@retail.pe
CLI-000011,Olga,Cabañas,38,Arequipa,Regular,cliente11@retail.pe
CLI-000012,Vinicio,Alberdi,40,Cusco,Nuevo,cliente12@retail.pe
CLI-000013,Ofelia,Trujillo,65,Piura,Regular,cliente13@retail.pe
CLI-000014,Iris,Miralles,64,Cusco,Premium,cliente14@retail.pe
CLI-000015,Humberto,Puerta,52,Cusco,Regular,cliente15@retail.pe
CLI-000016,José,Oliveras,27,Chiclayo,Regular,cliente16@retail.pe
CLI-000017,Úrsula,Palacios,54,Cusco,Premium,cliente17@retail.pe
CLI-000018,Noa,Peñalver,63,Cusco,Regular,cliente18@retail.pe
CLI-000019,Marcia,Vilanova,45,Lima,Regular,cliente19@retail.pe
CLI-000020,Felicia,Benito,55,Piura,Regular,cliente20@retail.pe
CLI-000021,Loreto,Niño,25,Trujillo,Regular,cliente21@retail.pe
CLI-000022,Chuy,Manzano,66,Piura,Nuevo,cliente22@retail.pe
CLI-000023,Lucio,Sebastián,43,Piura,Regular,cliente23@retail.pe
CLI-000024,Epifanio,Mendizábal,44,Piura,Nuevo,cliente24@retail.pe
CLI-000025,Amador,Peinado,48,Piura,Regular,cliente25@retail.pe
CLI-000026,Prudencio,Serra,19,Piura,Regular,cliente26@retail.pe
CLI-000027,Telmo,Botella,26,Lima,Nuevo,cliente27@retail.pe
CLI-000028,Sabas,Valentín,51,Chiclayo,Premium,cliente28@retail.pe
CLI-000029,Rufina,Carnero,57,Trujillo,Regular,cliente29@retail.pe
CLI-000030,Teodoro,Velázquez,48,Arequipa,Nuevo,cliente30@retail.pe
CLI-000031,Nidia,Tudela,25,Chiclayo,Regular,cliente31@retail.pe
CLI-000032,Rómulo,Zamorano,61,Trujillo,Regular,cliente32@retail.pe
CLI-000033,Juan,Rivera,52,Cusco,Regular,cliente33@retail.pe
CLI-000034,Cintia,Tello,60,Cusco,Regular,cliente34@retail.pe
CLI-000035,Armida,Villaverde,59,Piura,Regular,cliente35@retail.pe
CLI-000036,Noa,Amaya,69,Trujillo,Regular,cliente36@retail.pe
CLI-000037,Coral,Gomez,36,Cusco,Premium,cliente37@retail.pe
CLI-000038,María Dolores,Castelló,27,Chiclayo,Nuevo,cliente38@retail.pe
CLI-000039,Olimpia,Avilés,47,Piura,Nuevo,cliente39@retail.pe
CLI-000040,Julie,Zabala,41,Arequipa,Regular,cliente40@retail.pe
CLI-000041,Susana,Calderon,49,Trujillo,Regular,cliente41@retail.pe
CLI-000042,Liliana,Román,70,Trujillo,Nuevo,cliente42@retail.pe
CLI-000043,Adoración,Cisneros,53,Chiclayo,Nuevo,cliente43@retail.pe
CLI-000044,Alma,Granados,36,Cusco,Regular,cliente44@retail.pe
CLI-000045,Remedios,Carro,69,Lima,Regular,cliente45@retail.pe
CLI-000046,Eugenia,Saura,63,Piura,Regular,cliente46@retail.pe
CLI-000047,Ileana,Soria,29,Trujillo,Nuevo,cliente47@retail.pe
CLI-000048,Lidia,Iglesias,48,Lima,Regular,cliente48@retail.pe
CLI-000049,Charo,Quesada,49,Cusco,Premium,cliente49@retail.pe
CLI-000050,Haydée,Mena,65,Trujillo,Premium,cliente50@retail.pe
CLI-000051,Carlota,Valls,18,Lima,Premium,cliente51@retail.pe
