message_key,kafka_timestamp,event_id,transaction_id,customer_id,product_id,customer_name,product_name,category,city,store,quantity,unit_price,total_amount,stock_actual,stock_minimo,risk_score,is_risk,event_timestamp,processing_timestamp,batch_id
TRX-00041027,2026-05-13 15:21:50.012,EVT-000066,TRX-00041027,CLI-009767,PROD-000423,Fortunata,Sandalias,Calzado,Piura,Jockey Plaza,4,151.46,605.84,263,32,0.21,False,2026-05-13 15:21:50,2026-05-13 15:22:00.008,2
TRX-00071660,2026-05-13 15:21:50.115,EVT-000067,TRX-00071660,CLI-008478,PROD-002232,Cebrián,Bicicleta,Deportes,Chiclayo,Mega Plaza,5,576.37,2881.85,425,37,0.62,False,2026-05-13 15:21:50,2026-05-13 15:22:00.008,2
TRX-00098035,2026-05-13 15:21:50.229,EVT-000068,TRX-00098035,CLI-006866,PROD-000393,Lupe,Correa,Accesorios,Piura,Real Plaza,2,622.15,1244.3,382,21,0.24,False,2026-05-13 15:21:50,2026-05-13 15:22:00.008,2
TRX-00002440,2026-05-13 15:21:50.334,EVT-000069,TRX-00002440,CLI-016315,PROD-004448,Teo,Zapatillas,Calzado,Cusco,Real Plaza,4,214.99,859.96,483,10,0.3,False,2026-05-13 15:21:50,2026-05-13 15:22:00.008,2
TRX-00091570,2026-05-13 15:21:50.441,EVT-000070,TRX-00091570,CLI-005096,PROD-000372,Leticia,Guantes,Deportes,Piura,Real Plaza,5,467.86,2339.3,268,22,0.5,False,2026-05-13 15:21:50,2026-05-13 15:22:00.008,2
TRX-00066955,2026-05-13 15:21:50.546,EVT-000071,TRX-00066955,CLI-016223,PROD-000022,Nazaret,Botas,Calzado,Piura,Mall Aventura,5,163.02,815.1,80,12,0.41,False,2026-05-13 15:21:50,2026-05-13 15:22:00.008,2
TRX-00048319,2026-05-13 15:21:50.649,EVT-000072,TRX-00048319,CLI-017983,PROD-004660,Gabriel,Bicicleta,Deportes,Chiclayo,Mall Aventura,4,409.4,1637.6,115,12,0.57,False,2026-05-13 15:21:50,2026-05-13 15:22:00.008,2
TRX-00058081,2026-05-13 15:21:50.753,EVT-000073,TRX-00058081,CLI-001849,PROD-000333,Pilar,Mesa,Hogar,Arequipa,Mega Plaza,3,767.58,2302.74,100,18,0.43,False,2026-05-13 15:21:50,2026-05-13 15:22:00.008,2
TRX-00005371,2026-05-13 15:21:50.857,EVT-000074,TRX-00005371,CLI-017283,PROD-001829,Feliciano,Reloj,Accesorios,Cusco,Jockey Plaza,4,170.61,682.44,303,35,0.28,False,2026-05-13 15:21:50,2026-05-13 15:22:00.008,2
TRX-00027274,2026-05-13 15:21:50.959,EVT-000075,TRX-00027274,CLI-001933,PROD-004968,Armida,Botas,Calzado,Cusco,Mega Plaza,2,262.87,525.74,459,20,0.42,False,2026-05-13 15:21:50,2026-05-13 15:22:00.008,2
TRX-00039320,2026-05-13 15:21:51.061,EVT-000076,TRX-00039320,CLI-000834,PROD-003722,Heriberto,Lámpara,Hogar,Lima,Jockey Plaza,2,661.4,1322.8,340,26,0.19,False,2026-05-13 15:21:51,2026-05-13 15:22:00.008,2
TRX-00026990,2026-05-13 15:21:51.165,EVT-000077,TRX-00026990,CLI-014773,PROD-000022,Javiera,Botas,Calzado,Cusco,Mega Plaza,3,163.02,489.06,80,12,0.18,False,2026-05-13 15:21:51,2026-05-13 15:22:00.008,2
